City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
181,Ixtapa,20.7,-105.2,79.83,50,75,10.36,broken clouds,MX,2021-12-11 20:22:46
182,Castro,-24.7911,-50.0119,82.24,39,100,5.68,overcast clouds,BR,2021-12-11 20:23:54
183,Vila Velha,-20.3297,-40.2925,80.55,84,20,10.0,few clouds,BR,2021-12-11 20:23:55
184,Severo-Kurilsk,50.6789,156.125,33.3,96,100,18.68,snow,RU,2021-12-11 20:23:55
185,Namibe,-15.1961,12.1522,71.6,75,64,1.97,broken clouds,AO,2021-12-11 20:23:55
186,Mercedes,-34.6515,-59.4307,90.18,27,40,3.31,scattered clouds,AR,2021-12-11 20:23:56
187,Krasnoselkup,65.7,82.4667,-7.83,98,64,10.07,broken clouds,RU,2021-12-11 20:23:56
188,Sangar,63.9242,127.4739,-9.17,95,100,6.91,overcast clouds,RU,2021-12-11 20:23:56
189,Northam,51.0333,-4.2167,53.42,97,100,15.68,overcast clouds,GB,2021-12-11 20:23:57
190,Fomboni,-12.28,43.7425,81.59,74,100,16.55,overcast clouds,KM,2021-12-11 20:23:57
191,Los Llanos De Aridane,28.6585,-17.9182,62.35,76,75,11.01,broken clouds,ES,2021-12-11 20:23:57
192,Upernavik,72.7868,-56.1549,2.46,93,100,9.57,overcast clouds,GL,2021-12-11 20:23:58
193,Shiyan,32.6475,110.7781,46.69,78,100,4.29,overcast clouds,CN,2021-12-11 20:23:58
194,Praya,14.9215,-23.5087,73.94,73,0,16.11,clear sky,CV,2021-12-11 20:23:58
195,Mahebourg,-20.4081,57.7,79.25,78,40,10.36,light rain,MU,2021-12-11 20:23:59
196,Nikolskoye,59.7035,30.7861,26.49,89,100,9.73,light snow,RU,2021-12-11 20:23:59
197,Port Lincoln,-34.7333,135.8667,64.89,69,12,10.22,few clouds,AU,2021-12-11 20:23:59
198,Saint-Philippe,-21.3585,55.7679,78.35,80,79,9.75,light rain,RE,2021-12-11 20:24:00
199,Ust-Ilimsk,58.0006,102.6619,14.09,91,100,9.64,overcast clouds,RU,2021-12-11 20:24:00
200,Conceicao Do Araguaia,-8.2578,-49.2647,82.96,76,96,3.09,overcast clouds,BR,2021-12-11 20:24:01
201,Brae,60.3964,-1.353,46.31,93,100,21.77,overcast clouds,GB,2021-12-11 20:24:01
202,Les Cayes,18.2,-73.75,83.19,61,9,8.86,clear sky,HT,2021-12-11 20:24:01
203,Mananjary,-21.2167,48.3333,76.17,80,9,6.38,clear sky,MG,2021-12-11 20:24:02
