City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Kanchanaburi,TH,68.31,clear sky,14.6333,99.1,แพบุญศรี
288,Chuy,UY,71.65,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
289,Mackay,AU,74.05,broken clouds,-21.15,149.2,International Lodge Motel
300,Alanya,TR,55.53,scattered clouds,36.5438,31.9998,Panorama Hotel
302,Panorama,GR,52.9,broken clouds,40.5878,23.0315,Panorama Hotel
306,Lata,PT,53.35,few clouds,40.1629,-8.3327,Casa Maquia
311,Ivybridge,GB,54.57,overcast clouds,50.3904,-3.9191,The Anchor Inn
319,Wenzhou,CN,55.83,clear sky,27.9994,120.6668,温州喜来登酒店
326,Carlsbad,US,70.68,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
328,Kwinana,AU,61.81,overcast clouds,-32.25,115.7667,Rockingham Apartments
329,Kaeo,NZ,71.33,heavy intensity rain,-35.1,173.7833,Bushido Lodge
333,Airai,TL,61.81,overcast clouds,-8.9266,125.4092,Juvinal Martin
334,Yarmouth,US,62.58,mist,41.7057,-70.2286,Blue Rock Resort
337,Payo,ID,71.6,overcast clouds,-3.7508,103.6372,Mess keban agung
340,Huarmey,PE,72.37,scattered clouds,-10.0681,-78.1522,Hotel Miramar
345,Willowmore,ZA,62.58,clear sky,-33.2926,23.4895,Jumper's Place
351,Plettenberg Bay,ZA,64.2,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
357,Praia Da Vitoria,PT,65.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
359,Dunedin,NZ,53.8,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
362,Najran,SA,52.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
366,Laurel,US,69.73,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
368,Camacha,PT,62.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
